t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,v0_kmh
709.9361456986517,1781612375.0029187,0.08398913592100143,-0.0006035629194229841,9.363138198852539,5.99168379267212e-05,-0.008223370648920536,-0.0002538370026741177,0.0,0.0,30
709.9461456984282,1781612375.0134246,0.08157231658697128,-0.00023114254872780293,9.632330894470215,6.466578633990139e-05,-0.013223603367805481,-0.00025374366668984294,0.0,0.01,30
709.9561456982046,1781612375.0245254,0.10621868073940277,0.00013734067033510655,9.875509262084961,7.72916100686416e-05,-0.01600041799247265,-0.00025346886832267046,0.0,0.02,30
709.9661456979811,1781612375.0348804,0.1645229309797287,0.0004993210313841701,10.041086196899414,9.473627869738266e-05,-0.01672980934381485,-0.0002529723569750786,0.0,0.03,30
709.9761456977576,1781612375.0450277,0.2630496621131897,-0.014248858205974102,10.10815715789795,5.843550752615556e-05,-0.015802467241883278,-0.00020579843840096146,0.0,0.04,30
709.9861456975341,1781612375.055524,0.40279632806777954,-0.0005095074302516878,10.083234786987305,8.627502393210307e-05,-0.013717479072511196,-0.0002046884037554264,0.0,0.05,30
709.9961456973106,1781612375.065567,0.5815592408180237,0.0019081896170973778,9.991745948791504,0.00010907051182584837,-0.010992269963026047,-0.00020314015273470432,0.0,0.06,30
710.006145697087,1781612375.0756533,0.8039862513542175,-0.0007689216872677207,9.868114471435547,0.00012202084326418117,-0.00809477735310793,-0.0002010929019888863,0.0,0.07,30
710.0161456968635,1781612375.086158,1.063438057899475,1.4628337339672726e-05,9.746173858642578,0.000123215198982507,-0.005402781534940004,-0.00019858611631207168,0.0,0.08,30
710.02614569664,1781612375.096781,1.3576899766921997,-6.567333912244067e-05,9.652129173278809,0.00011267200170550495,-0.003187449648976326,-0.0001955082407221198,0.0,0.09,30
710.0361456964165,1781612375.1071272,1.6874773502349854,-0.0015749247977510095,9.600672721862793,9.243896784028038e-05,-0.0016145885456353426,-0.00019174080807715654,0.0,0.1,30
710.046145696193,1781612375.1176355,2.0472829341888428,-0.0005666457582265139,9.595290184020996,6.610053242184222e-05,-0.0007561109378002584,-0.00018733822798822075,0.0,0.11,30
710.0561456959695,1781612375.1277094,2.436706066131592,-0.0005368719575926661,9.629300117492676,3.727654984686524e-05,-0.0006084686028771102,-0.00018206746608484536,0.0,0.12,30
710.066145695746,1781612375.1378071,2.8566057682037354,-0.0018755027558654547,9.689663887023926,1.0197497431363445e-05,-0.001112261088564992,-0.00017602182924747467,0.0,0.13,30
710.0761456955224,1781612375.14844,3.300760507583618,-0.00029028579592704773,9.761147499084473,-1.1009208719769958e-05,-0.0021684756502509117,-0.00016903811774682254,0.0,0.14,30
710.0861456952989,1781612375.1584427,3.775944232940674,-0.001563635771162808,9.829453468322754,-2.325658169866074e-05,-0.00365337822586298,-0.0001609537284821272,0.0,0.15,30
710.0961456950754,1781612375.1690552,4.098781108856201,3.3088523196056485e-05,9.902891159057617,-2.5911032935255207e-05,-0.0050842552445828915,-0.00015224091475829482,0.0,0.16,30
710.1061456948519,1781612375.1795654,4.079585552215576,0.00025435996940359473,9.984350204467773,-2.020595275098458e-05,-0.005688135512173176,-0.0001435827143723145,0.0,0.17,30
710.1161456946284,1781612375.1906567,4.064234733581543,-0.0008581274305470288,10.010092735290527,-8.127017281367444e-06,-0.005588540807366371,-0.00013479583139996976,0.0,0.18,30
710.1261456944048,1781612375.2011073,4.051826000213623,-0.0007858581375330687,9.986756324768066,6.901118467794731e-06,-0.0049553182907402515,-0.00012627417163457721,0.0,0.19,30
710.1361456941813,1781612375.211615,4.04255485534668,0.0004930159193463624,9.92955207824707,2.179532930313144e-05,-0.0039713080041110516,-0.00011775279563153163,0.0,0.2,30
710.1461456939578,1781612375.2227566,4.039032936096191,-0.0008530411287210882,9.857462882995605,3.3582142350496724e-05,-0.0028057782910764217,-0.000109235814306885,0.0,0.21,30
710.1561456937343,1781612375.233253,4.03731107711792,0.0002149913925677538,9.787843704223633,4.068402267876081e-05,-0.001600733958184719,-0.00010061646025860682,0.0,0.22,30
710.1661456935108,1781612375.2447734,4.038337230682373,-0.0009779317770153284,9.734135627746582,4.226781311444938e-05,-0.00046574193402193487,-9.188886906486005e-05,0.0,0.23,30
710.1761456932873,1781612375.2549987,4.040660381317139,6.739854870829731e-05,9.70361042022705,3.831627327599563e-05,0.000521868234500289,-8.319498738273978e-05,0.0,0.24,30
