t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,speed_kmh,steer_norm,SWA_deg,direction,R_meas_m
82.6361597198993,1781611719.9458299,3.1252756118774414,-0.004889175295829773,9.734817504882812,0.0003246062551625073,-0.00442465441301465,3.456683043623343e-05,11.587098483910667,20,0.11587098483910668,4.055484469368734,left,
82.64615971967578,1781611719.956338,2.992624044418335,-0.0010037608444690704,9.741716384887695,0.00012471397349145263,-0.0023343588691204786,5.303075522533618e-05,0.0,20,0.11587098483910668,4.055484469368734,left,
82.65615971945226,1781611719.9668431,2.9265177249908447,0.04139620438218117,9.742330551147461,0.00012508437794167548,-0.0001553299807710573,0.00014655331324320287,0.0,20,0.11587098483910668,4.055484469368734,left,
82.66615971922874,1781611719.9770856,2.84102201461792,0.06533930450677872,9.74536418914795,0.00035165317240171134,0.001870244974270463,0.00033805836574174464,0.0,20,0.11587098483910668,4.055484469368734,left,
82.67615971900523,1781611719.9875922,2.8072595596313477,0.11533277481794357,9.751824378967285,0.0007181360851973295,0.0035540019161999226,0.0007225805893540382,0.0,20,0.11587098483910668,4.055484469368734,left,
82.68615971878171,1781611719.9981172,2.7480359077453613,0.15369538962841034,9.762167930603027,0.001239290344528854,0.004770323168486357,0.0013090221909806132,0.0,20,0.11587098483910668,4.055484469368734,left,
82.69615971855819,1781611720.0086346,2.6997897624969482,0.19880691170692444,9.776405334472656,0.0018604518845677376,0.005459707695990801,0.0021331668831408024,0.0,20,0.11587098483910668,4.055484469368734,left,
82.70615971833467,1781611720.0181746,2.6545305252075195,0.1623055338859558,9.793500900268555,0.002073364332318306,0.005622105672955513,0.0030398452654480934,0.0,20,0.11587098483910668,4.055484469368734,left,
82.71615971811116,1781611720.0296876,2.610093116760254,0.09056944400072098,9.811530113220215,0.0016826404025778174,0.0053092497400939465,0.0038596021477133036,0.0,20,0.11587098483910668,4.055484469368734,left,
82.72615971788764,1781611720.0398338,2.565317153930664,0.06016188859939575,9.828859329223633,0.0009994546417146921,0.004614329896867275,0.004568161908537149,0.0,20,0.11587098483910668,4.055484469368734,left,
82.73615971766412,1781611720.0495164,2.5201973915100098,0.046532146632671356,9.843666076660156,0.0002041638654191047,0.0036551824305206537,0.005161037668585777,0.0,20,0.11587098483910668,4.055484469368734,left,
