t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,steer_input,direction,rep,ay_target,swa_calib_deg
483.94323335401714,1781616120.6790195,-0.3180399537086487,-0.00015636809985153377,9.83137321472168,-2.1889306935918285e-06,0.0005426976131275296,-0.0001379537134198472,0.0,0.0,0.0,left,1,2.0,6.041
483.9532333537936,1781616120.6895256,-0.31714311242103577,-0.001896941103041172,9.824849128723145,-2.8854087759100366e-06,0.0010024865623563528,-0.00012680106738116592,0.0,0.01,0.0,left,1,2.0,6.041
483.9632333535701,1781616120.7000608,-0.31510648131370544,0.0008969737100414932,9.81801986694336,-2.7863347895618062e-06,0.0013971679145470262,-0.00011686776269925758,0.0,0.02,0.0,left,1,2.0,6.041
483.9732333533466,1781616120.710566,-0.3094721734523773,-0.001542367390356958,9.811254501342773,-2.3273037186299916e-06,0.0017244016053155065,-0.00010780453885672614,0.0,0.03,0.0,left,1,2.0,6.041
483.98323335312307,1781616120.7200944,-0.30745333433151245,0.004739748779684305,9.804889678955078,1.5726642232039012e-05,0.0019836972933262587,-0.0001184422435471788,0.0,0.04,0.0,left,1,2.0,6.041
483.99323335289955,1781616120.7305367,-0.3043554425239563,-0.0009791064076125622,9.799083709716797,1.3141853742126841e-05,0.002176227979362011,-0.00010844702774193138,0.0,0.05,0.0,left,1,2.0,6.041
484.00323335267603,1781616120.741042,-0.3012038469314575,0.00014307901437859982,9.794140815734863,1.1435544365667738e-05,0.002304571447893977,-9.971980034606531e-05,0.0,0.06,0.0,left,1,2.0,6.041
484.0132333524525,1781616120.751271,-0.29783153533935547,0.0037930430844426155,9.790209770202637,2.756300091277808e-05,0.002372408751398325,-0.00011074906797148287,0.0,0.07,0.0,left,1,2.0,6.041
484.023233352229,1781616120.7607696,-0.29578328132629395,-0.0001369383098790422,9.787283897399902,2.3274349587154575e-05,0.0023845622781664133,-0.00010120425577042624,0.0,0.08,0.0,left,1,2.0,6.041
484.0332333520055,1781616120.77089,-0.29268643260002136,5.648948354064487e-05,9.785499572753906,2.0183508240734227e-05,0.002346384571865201,-9.289725858252496e-05,0.0,0.09,0.0,left,1,2.0,6.041
484.04323335178196,1781616120.78201,-0.2889282703399658,0.003758005565032363,9.784856796264648,3.50779082509689e-05,0.002263817470520735,-0.00010433611896587536,0.0,0.1,0.0,left,1,2.0,6.041
484.05323335155845,1781616120.7935154,-0.2859989404678345,-0.0010046616662293673,9.78521728515625,2.983616286655888e-05,0.002143062185496092,-9.519344894215465e-05,0.0,0.11,0.0,left,1,2.0,6.041
484.06323335133493,1781616120.8040292,-0.28438127040863037,0.000947532185819,9.786555290222168,2.6073948902194388e-05,0.0019903986249119043,-8.745395462028682e-05,0.0,0.12,0.0,left,1,2.0,6.041
484.0732333511114,1781616120.8135355,-0.2801850140094757,0.0037449037190526724,9.788796424865723,4.043593435199e-05,0.001812014146707952,-9.93258145172149e-05,0.0,0.13,0.0,left,1,2.0,6.041
484.0832333508879,1781616120.8240407,-0.2782260477542877,-0.00015009107301011682,9.791666984558105,3.4856333513744175e-05,0.0016139037907123566,-9.074244007933885e-05,0.0,0.14,0.0,left,1,2.0,6.041
484.0932333506644,1781616120.83356,-0.2745054066181183,-0.0007786487112753093,9.795145988464355,3.065549026359804e-05,0.0014016341883689165,-8.337089093402028e-05,0.0,0.15,0.0,left,1,2.0,6.041
