t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,speed_kmh,steer_norm,SWA_deg,direction,R_meas_m
98.54324196837842,1781615711.6310444,0.09029470384120941,0.0038306706119328737,9.797100067138672,-0.0005045004072599113,0.0008054277277551591,-0.0003217026242054999,10.190108700730384,20,0.10190108700730385,3.7703402192702424,left,
98.55324196815491,1781615711.641557,-0.09283547103404999,0.09077993780374527,9.815367698669434,3.4409924410283566e-05,0.001336065586656332,-8.525682642357424e-05,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.56324196793139,1781615711.6520758,-0.0957929790019989,0.273549884557724,9.814339637756348,0.0015742864925414324,0.0018100279849022627,0.0008580680005252361,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.57324196770787,1781615711.6662374,-0.0988621935248375,0.3503710627555847,9.81165885925293,0.00345383258536458,0.0022193784825503826,0.0023206493351608515,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.58324196748435,1781615711.675965,-0.09705530852079391,0.20389801263809204,9.80662727355957,0.00441385805606842,0.0025570590514689684,0.003693273989483714,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.59324196726084,1781615711.6859763,-0.09708867967128754,0.13304750621318817,9.802815437316895,0.004837822634726763,0.0028233423363417387,0.0048920814879238605,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.60324196703732,1781615711.6961622,-0.09558925777673721,0.0974118560552597,9.799960136413574,0.004929897375404835,0.0030195130966603756,0.005900692194700241,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.6132419668138,1781615711.70695,-0.0955226793885231,0.08176502585411072,9.797930717468262,0.004803655669093132,0.003148025134578347,0.00673146266490221,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.62324196659029,1781615711.717297,-0.09373944997787476,0.07377910614013672,9.796692848205566,0.004526154603809118,0.003212451469153166,0.007407201454043388,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.63324196636677,1781615711.7267933,-0.09468688815832138,0.07240287214517593,9.796201705932617,0.004140278324484825,0.003217102959752083,0.007952531799674034,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.64324196614325,1781615711.7362945,-0.09267395734786987,0.07196968048810959,9.796424865722656,0.003686226438730955,0.0031670399475842714,0.008395672775804996,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.65324196591973,1781615711.7458081,-0.09417939186096191,0.07201509922742844,9.79725170135498,0.0031625747215002775,0.003067829180508852,0.008746586740016937,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.66324196569622,1781615711.7558174,-0.09269582480192184,0.071178138256073,9.79868221282959,0.00260477839037776,0.002925232984125614,0.009026666171848774,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.6732419654727,1781615711.766013,-0.09249385446310043,0.07801275700330734,9.800653457641602,0.0020501979161053896,0.0027454139199107885,0.009226202964782715,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.68324196524918,1781615711.7751136,-0.09325344115495682,0.07233070582151413,9.802925109863281,0.0014601729344576597,0.0025346041657030582,0.009407252073287964,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.69324196502566,1781615711.7852232,-0.0922851637005806,0.06706007570028305,9.805517196655273,0.0008585622417740524,0.0022989038843661547,0.009575150907039642,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.70324196480215,1781615711.795766,-0.09178530424833298,0.06330954283475876,9.808320045471191,0.0002647317014634609,0.0020442067179828882,0.009733704850077629,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.71324196457863,1781615711.8047686,-0.0929640382528305,0.08024783432483673,9.811334609985352,-0.0002348183625144884,0.00177611387334764,0.009808083064854145,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.72324196435511,1781615711.8158703,-0.09196007996797562,0.07632622867822647,9.81418228149414,-0.0007142286049202085,0.0015000095590949059,0.00987272709608078,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.7332419641316,1781615711.827321,-0.09185393154621124,0.07463409006595612,9.816927909851074,-0.0011594287352636456,0.001220934558659792,0.009927680715918541,0.0,20,0.10190108700730385,3.7703402192702424,left,
98.74324196390808,1781615711.8368278,-0.09174270927906036,0.07269347459077835,9.819515228271484,-0.0015615250449627638,0.000943459162954241,0.009974050335586071,0.0,20,0.10190108700730385,3.7703402192702424,left,
