t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,steer_input,speed_kmh
799.0432263109833,1781616447.6545217,-0.07967367768287659,0.005259917117655277,9.809718132019043,1.5605326552758925e-05,2.166493868571706e-05,-0.00014561838179361075,0.0,0.0,0.0,50.0
799.0532263107598,1781616447.6635218,-0.07670670747756958,0.03342020511627197,9.809959411621094,0.00015992745466064662,2.1550904421019368e-05,-2.6959118258673698e-05,2.0097727271907826,0.01,0.020097727271907825,50.0
799.0632263105363,1781616447.6727834,-0.07538073509931564,0.10359473526477814,9.810776710510254,0.0007963234093040228,2.1530628146138042e-05,0.0003627357946243137,2.0046958668578134,0.02,0.04014468594048596,50.0
799.0732263103127,1781616447.6838105,-0.08192415535449982,0.25915542244911194,9.811807632446289,0.0020989684853702784,2.2135885956231505e-05,0.001206318149343133,1.9945549707816868,0.03,0.06009023564830283,50.0
799.0832263100892,1781616447.6939094,-0.08242201060056686,0.40803271532058716,9.812845230102539,0.004160942509770393,2.4476825274177827e-05,0.002669620793312788,1.9793756557459983,0.04,0.07988399220576281,50.0
799.0932263098657,1781616447.7022262,-0.08571460098028183,0.5851921439170837,9.813755989074707,0.007014622911810875,3.0445140509982593e-05,0.004896203987300396,1.959196266017911,0.05,0.09947595486594192,50.0
799.1032263096422,1781616447.7117326,-0.09151572734117508,0.7774592041969299,9.814465522766113,0.010646278038620949,4.2629468225641176e-05,0.008004569448530674,1.9340677764872054,0.06,0.11881663263081398,50.0
799.1132263094187,1781616447.723739,-0.09878823906183243,0.9804134964942932,9.814854621887207,0.015006639994680882,6.434618990169838e-05,0.01208733394742012,1.9040536638992842,0.07,0.13785716926980682,50.0
799.1232263091952,1781616447.7367656,-0.108662910759449,1.1940230131149292,9.814836502075195,0.02001877874135971,9.952179971151054e-05,0.017210738733410835,1.869229746507417,0.08,0.156549466734881,50.0
799.1332263089716,1781616447.7481458,-0.12177923321723938,1.4140177965164185,9.814371109008789,0.025583550333976746,0.00015260512009263039,0.023416364565491676,1.8296839925492163,0.09,0.17484630666037315,50.0
799.1432263087481,1781616447.7586746,-0.1355070173740387,1.6388505697250366,9.813348770141602,0.03158470615744591,0.00022817612625658512,0.03072153963148594,1.7855162980312977,0.1,0.19270146964068613,50.0
799.1532263085246,1781616447.7680705,-0.1531059890985489,1.86823308467865,9.81173038482666,0.03789353743195534,0.0003308463783469051,0.03912092000246048,1.7368382343832172,0.11,0.2100698519845183,50.0
