direction,speed_kmh,Ay_ms2,Ay_g,psi_dot_rads,SWA_deg,R_meas_m
left,20,0.6082621401548386,0.062004295632501386,0.10841392815113067,12.157132676623606,50.12
left,22,0.7337144556641578,0.0747925031258061,0.11726220790296793,12.029387324347935,51.66
left,24,0.8710149040818215,0.08878847136410005,0.12783662006258964,12.074336007667592,51.66
left,26,1.0197396951913833,0.103949000529193,0.1383683204650879,12.118435306666797,51.67
left,28,1.180202872157097,0.12030610317605472,0.14889638632535934,12.162712617201686,51.68
left,30,1.352400887608528,0.13785941769709764,0.15942061714828015,12.207184049348811,51.68
left,32,1.536396649479866,0.15661535672577634,0.16994773276150227,12.25207375852653,51.69
left,34,1.732058982849121,0.17656054871040988,0.1804654435813427,12.296940682497016,51.7
left,36,1.9396163845062255,0.1977182858823879,0.19099363535642624,12.331927606721619,51.71
left,38,2.158575040102005,0.22003823038756423,0.20148275829851628,12.400963125500601,51.73
left,40,2.3890550935268404,0.2435326293095658,0.21195879131555556,12.472524428157776,51.74
left,42,2.6310162580013277,0.2681973759430507,0.22242123380303383,12.546598411336594,51.76
left,44,2.8844228410720825,0.294028831913566,0.2328691052645445,12.62315035449828,51.78
left,46,3.1492420840263367,0.3210236579027866,0.24330343782901764,12.702201073257218,51.8
left,48,3.42547568321228,0.34918202683101734,0.2537257191538811,12.783779072084362,51.81
left,50,3.7129593110084533,0.37848718766650896,0.26412896484136583,12.867685889924555,51.83
left,52,4.011713882684708,0.40894127244492434,0.27451588347554207,12.953990030035374,51.85
left,54,4.321664745807648,0.44053667133615165,0.2848857878148556,13.042658073920899,51.87
left,56,4.642876303195953,0.4732799493573856,0.29524424895644186,13.1338060825724,51.89
left,58,4.975274510383606,0.5071635586527631,0.30558962509036064,13.227347025718544,51.91
left,60,5.3187857389450075,0.5421799937762495,0.31591970786452295,13.323233033976349,51.93
left,62,5.6733391880989075,0.5783220375228244,0.3262323974072933,13.421395095914917,51.95
left,64,5.9919017934799195,0.6107952898552415,0.3341714927554131,14.659472878240427,52.29
left,66,6.3573601746559145,0.6480489474674734,0.34401574060320855,14.966954164486435,52.35
left,68,6.730362317562103,0.6860715920042918,0.3537259878218174,15.276233944926902,52.42
left,70,7.112793085575103,0.7250553604052092,0.3633927808701992,15.590088821654195,52.49
left,72,7.505068576335907,0.7650426683318967,0.37304205641150473,15.909083744175037,52.56
left,74,7.906514453887939,0.8059647761353659,0.38264387398958205,16.23222549029265,52.63
left,76,8.317869153022766,0.8478969574946754,0.39223846584558486,16.562709328412037,52.7
left,78,8.740337872505188,0.8909620665142903,0.4019044502079487,16.901216680436622,52.75
left,80,7.851009640693665,0.8003067931390075,0.3568820978701115,26.083477998959978,60.1
left,82,8.3150243973732,0.8476069722092966,0.3678758184611797,25.873663442457865,60.35
left,84,7.431736037731171,0.7575673840704558,0.3257197690010071,35.17465714936803,68.29
left,86,7.302268414497376,0.7443698689599771,0.3131755989789963,37.0,72.58
left,88,7.3107748174667355,0.7452369844512472,0.30620271220803263,37.0,76.01
left,90,7.321203892230987,0.746300090951171,0.2996201539039612,37.0,79.5
right,20,-0.6003890404105187,-0.06120173704490506,-0.1083572931587696,-12.150805523886097,50.11
right,22,-0.7267142650485039,-0.07407892610076491,-0.11726180844008922,-12.022964194614707,51.66
right,24,-0.8641498136520386,-0.0880886660195758,-0.12783900953829289,-12.068015745342223,51.66
right,26,-1.0130026549100877,-0.10326224820694063,-0.13837105505168437,-12.112192056969867,51.67
right,28,-1.1735892993211747,-0.11963193672998722,-0.14889951974153517,-12.156525853684338,51.68
right,30,-1.3459176677465439,-0.13719853901595758,-0.15942418411374093,-12.201049749813432,51.68
right,32,-1.5300917136669159,-0.15597265174994046,-0.16995214156806468,-12.24607394783658,51.69
right,34,-1.7259124195575715,-0.17593398772248434,-0.18046969905495644,-12.290913867486278,51.7
right,36,-1.9336311113834381,-0.19710816629800593,-0.19099795028567315,-12.326269458482315,51.71
right,38,-2.1527654480934144,-0.2194460191736406,-0.20148759812116623,-12.395339999873627,51.73
right,40,-2.3834156572818754,-0.24295776322954896,-0.21196359574794768,-12.466917836550715,51.74
right,42,-2.6255718898773193,-0.26764239448290716,-0.22242561042308806,-12.541008140315904,51.76
right,44,-2.8792061483860016,-0.29349705895881767,-0.23287346743047238,-12.61760231916322,51.78
right,46,-3.144219230413437,-0.3205116442827153,-0.24330856643617152,-12.696685366998418,51.79
