t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,steer_input,speed_kmh
732.9993379507214,1781615273.9691253,0.8954868316650391,-0.009783120825886726,9.853522300720215,3.569866021280177e-05,0.004224634729325771,-0.0002994534152094275,0.0,0.0,0.0,50.0
733.0093379504979,1781615273.9826336,0.8735032677650452,0.048252735286951065,9.851977348327637,0.00048656651051715016,0.003895743517205119,-0.00018283913959749043,2.0097727271907826,0.01,0.020097727271907825,50.0
733.0193379502743,1781615273.9927535,0.8515766263008118,0.12224701046943665,9.850274085998535,0.001745473826304078,0.0035867090336978436,0.0004404882784001529,2.0046958668578134,0.02,0.04014468594048596,50.0
733.0293379500508,1781615274.0020754,0.8293541669845581,0.25295519828796387,9.848454475402832,0.004207442048937082,0.0032991361804306507,0.0017398134805262089,1.9945549707816868,0.03,0.06009023564830283,50.0
733.0393379498273,1781615274.0115943,0.8086202144622803,0.39889493584632874,9.846478462219238,0.007971915416419506,0.0030356242787092924,0.003959403373301029,1.9793756557459983,0.04,0.07988399220576281,50.0
733.0493379496038,1781615274.020989,0.7848355174064636,0.5658929347991943,9.844361305236816,0.013043125160038471,0.002800015266984701,0.007280212827026844,1.959196266017911,0.05,0.09947595486594192,50.0
733.0593379493803,1781615274.0341072,0.7612066864967346,0.7451905012130737,9.84209156036377,0.01935301162302494,0.002597212791442871,0.01182736549526453,1.9340677764872054,0.06,0.11881663263081398,50.0
733.0693379491568,1781615274.0436246,0.7356136441230774,0.9397422671318054,9.839652061462402,0.02678118459880352,0.0024328080471605062,0.01767635904252529,1.9040536638992842,0.07,0.13785716926980682,50.0
733.0793379489332,1781615274.0529995,0.7090062499046326,1.1470903158187866,9.836941719055176,0.035166628658771515,0.002313009463250637,0.024860791862010956,1.869229746507417,0.08,0.156549466734881,50.0
733.0893379487097,1781615274.0651534,0.6787854433059692,1.36894953250885,9.833946228027344,0.04431779310107231,0.002244631526991725,0.03337862715125084,1.8296839925492163,0.09,0.17484630666037315,50.0
733.0993379484862,1781615274.0766602,0.6474100947380066,1.6013675928115845,9.830442428588867,0.054020896553993225,0.002234105486422777,0.04319783300161362,1.7855162980312977,0.1,0.19270146964068613,50.0
733.1093379482627,1781615274.0859997,0.6135115027427673,1.8424237966537476,9.826363563537598,0.06404770165681839,0.002287500072270632,0.05426076799631119,1.7368382343832172,0.11,0.2100698519845183,50.0
733.1193379480392,1781615274.0950582,0.576575517654419,2.09110951423645,9.821503639221191,0.07416247576475143,0.0024099121801555157,0.06648709625005722,1.6837727666184326,0.12,0.22690757965070263,50.0
733.1293379478157,1781615274.1080675,0.5383110642433167,2.346599817276001,9.815774917602539,0.08412843197584152,0.0026054829359054565,0.07977762073278427,1.626453942713954,0.13,0.24317211907784217,50.0
733.1393379475921,1781615274.1185741,0.4987128674983978,2.6030654907226562,9.809051513671875,0.09371239691972733,0.0028765713796019554,0.09401684254407883,1.5650265549935565,0.14,0.25882238462777774,50.0
733.1493379473686,1781615274.1280963,0.4561752676963806,2.8639163970947266,9.801240921020508,0.10269071906805038,0.003223828738555312,0.10907529294490814,1.4996457743697733,0.15,0.27381884237147547,50.0
733.1593379471451,1781615274.1366014,0.43713948130607605,2.7710459232330322,9.787887573242188,0.1073450893163681,0.0035553467459976673,0.12340094894170761,1.4304767583687317,0.16,0.2881236099551628,50.0
733.1693379469216,1781615274.1467247,0.40694692730903625,2.9634482860565186,9.778672218322754,0.11040347069501877,0.003919992595911026,0.1372431516647339,1.3576942339278752,0.17,0.30170055229444154,50.0
733.1793379466981,1781615274.154929,0.3771582543849945,3.1558995246887207,9.769941329956055,0.11201371997594833,0.004318079445511103,0.15066313743591309,1.2814820560206053,0.18,0.3145153728546476,50.0
733.1893379464746,1781615274.1654425,0.3471129834651947,3.3422889709472656,9.76168441772461,0.11229521036148071,0.004747851751744747,0.16370674967765808,1.202032743222603,0.19,0.3265357002868736,50.0
733.199337946251,1781615274.1759498,0.3191201984882355,3.5177531242370605,9.753819465637207,0.11135062575340271,0.005205352324992418,0.17640119791030884,1.1195469913932443,0.2,0.33773117020080606,50.0
733.2093379460275,1781615274.1850646,0.2914704978466034,3.688396692276001,9.746294021606445,0.10927201062440872,0.005684938281774521,0.18875503540039062,1.0342331667004212,0.21,0.3480735018678103,50.0
733.219337945804,1781615274.1955695,0.26509353518486023,3.847726345062256,9.739105224609375,0.10614334791898727,0.00617917999625206,0.20076166093349457,0.9463067792695234,0.22,0.3575365696605055,50.0
733.2293379455805,1781615274.205082,0.2418917864561081,3.9905223846435547,9.736266136169434,0.10206568241119385,0.006704977713525295,0.21240074932575226,0.8559899387861503,0.23,0.366096469048367,50.0
733.239337945357,1781615274.215588,0.21784211695194244,4.1280975341796875,9.752030372619629,0.0972190573811531,0.00737230246886611,0.2236408144235611,0.7635107934277796,0.24,0.3737315769826448,50.0
