t,t_wall,ax,ay,gravity,gx,gy,psi_dot,delta_dot,t_rel,v0_kmh
699.7993386927992,1781615239.8420181,-0.1179327741265297,0.014242797158658504,8.783527374267578,-0.00018152128905057907,-0.027507876977324486,0.00028897757874801755,0.0,0.0,30
699.8093386925757,1781615239.8515472,-0.1250452995300293,0.0029633038211613894,9.145641326904297,-0.0002355500473640859,-0.03940102458000183,0.0002898863167501986,0.0,0.01,30
699.8193386923522,1781615239.8640747,-0.09903720766305923,0.0019364942563697696,9.447909355163574,-0.0002845135168172419,-0.04845636710524559,0.00028820399893447757,0.0,0.02,30
699.8293386921287,1781615239.8745596,-0.042497146874666214,0.0030194546561688185,9.690788269042969,-0.0003284930717200041,-0.055087994784116745,0.0002832849568221718,0.0,0.03,30
699.8393386919051,1781615239.8840647,0.042004238814115524,0.00401687528938055,9.877120018005371,-0.0003673708997666836,-0.05969902127981186,0.0002744734229054302,0.0,0.04,30
699.8493386916816,1781615239.8945692,0.1579476147890091,0.004164166282862425,10.011678695678711,-0.0004013789293821901,-0.06266960501670837,0.0002611286472529173,0.0,0.05,30
699.8593386914581,1781615239.9050827,0.3014957010746002,0.004070290829986334,10.100366592407227,-0.0004305297043174505,-0.06434834748506546,0.00024258086341433227,0.0,0.06,30
699.8693386912346,1781615239.916613,0.47369760274887085,0.0034493610728532076,10.149754524230957,-0.0004548843135125935,-0.0650472640991211,0.00021814530191477388,0.0,0.07,30
699.8793386910111,1781615239.926124,0.6698224544525146,0.006936987396329641,10.16664981842041,-0.0004744922334793955,-0.06503936648368835,0.00018715481564868242,0.0,0.08,30
699.8893386907876,1781615239.9351268,0.8962372541427612,0.004353309515863657,10.157697677612305,-0.0004895068123005331,-0.06455857306718826,0.00014893720799591392,0.0,0.09,30
699.899338690564,1781615239.944288,1.1458649635314941,0.007139492314308882,10.12928295135498,-0.0005000977544113994,-0.0638006255030632,0.00010277287219651043,0.0,0.1,30
699.9093386903405,1781615239.9537933,1.4204087257385254,0.007272281218320131,10.087099075317383,-0.000506380049046129,-0.06292559206485748,4.80139788123779e-05,0.0,0.11,30
699.919338690117,1781615239.9633121,1.720397710800171,0.00844058208167553,10.03632640838623,-0.0005086243036203086,-0.06206131726503372,-1.6071264326456003e-05,0.0,0.12,30
699.9293386898935,1781615239.9738164,2.045140027999878,0.008169488981366158,9.98127269744873,-0.0005070518236607313,-0.06130696460604668,-9.022199810715392e-05,0.0,0.13,30
699.93933868967,1781615239.9843218,2.3927431106567383,0.009323826059699059,9.92563247680664,-0.0005019654054194689,-0.060736581683158875,-0.0001752404641592875,0.0,0.14,30
699.9493386894464,1781615239.9948258,2.7639501094818115,0.010484369471669197,9.872222900390625,-0.0004937357152812183,-0.06040366739034653,-0.0002717086754273623,0.0,0.15,30
699.9593386892229,1781615240.0078354,3.0205259323120117,-0.013193958438932896,9.858460426330566,-0.0005914286011829972,-0.059826452285051346,-0.0002440761454636231,0.0,0.16,30
699.9693386889994,1781615240.0178432,3.008463144302368,0.011220927350223064,9.912297248840332,-0.0005619343719445169,-0.058040641248226166,-0.00034875303390435874,0.0,0.17,30
699.9793386887759,1781615240.0293524,2.99855375289917,-0.01428696047514677,9.939982414245605,-0.0006466875202022493,-0.05529770255088806,-0.00031137431506067514,0.0,0.18,30
699.9893386885524,1781615240.04159,2.993302345275879,0.011915630660951138,9.946131706237793,-0.000595671939663589,-0.05182470753788948,-0.00041606638114899397,0.0,0.19,30
699.9993386883289,1781615240.0511093,2.989058494567871,-0.016070974990725517,9.93504810333252,-0.0006662665400654078,-0.04782198742032051,-0.0003703972324728966,0.0,0.2,30
700.0093386881053,1781615240.0616322,2.9873621463775635,0.010943874716758728,9.911273956298828,-0.000594577519223094,-0.04346363618969917,-0.00047502847155556083,0.0,0.21,30
700.0193386878818,1781615240.073141,2.9883689880371094,-0.018222996965050697,9.878520011901855,-0.0006515936111100018,-0.0388975627720356,-0.0004220392438583076,0.0,0.22,30
700.0293386876583,1781615240.0846639,2.9893174171447754,0.022664930671453476,9.840680122375488,-0.00046079480671323836,-0.03424771502614021,-0.0004893179284408689,0.0,0.23,30
700.0393386874348,1781615240.0966861,2.99237322807312,-0.02087794989347458,9.800429344177246,-0.0005344660021364689,-0.02961529605090618,-0.0004135870549362153,0.0,0.24,30
700.0493386872113,1781615240.10721,2.995617151260376,-0.0006406457396224141,9.760801315307617,-0.00044169501052238047,-0.02508176676928997,-0.0003718615625984967,0.0,0.25,30
700.0593386869878,1781615240.1182368,3.000516891479492,0.011247304268181324,9.72350788116455,-0.00035188504261896014,-0.020710987970232964,-0.00047601410187780857,0.0,0.26,30
700.0693386867642,1781615240.1294692,3.0041096210479736,-0.018449001014232635,9.690231323242188,-0.00040078224265016615,-0.016551317647099495,-0.00041513913311064243,0.0,0.27,30
700.0793386865407,1781615240.1396575,3.009422779083252,0.020970307290554047,9.662263870239258,-0.00020435536862351,-0.0126386359333992,-0.00048427315778099,0.0,0.28,30
